date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-16,daily,EWG,iSh. MSCI Germany ETF,42.36,Dark Green,c4,40.17,8.06,-0.19,5,5,+2.22%,2.22,pP
2026-04-16,daily,EWI,iSh. MSCI Italy ETF,58.19,Dark Green,c4,54.33,9.39,0.4,10,0,+6.54%,6.54,pP
2026-04-16,daily,EWK,iSh. MSCI Belgium ETF,26.27,Dark Green,c4,24.93,9.69,0.36,7,0,+6.40%,6.4,pP
2026-04-16,daily,EWP,iSh. MSCI Spain ETF,57.8,Dark Green,c4,54.83,8.54,0.6,10,62,+5.28%,5.28,pP
2026-04-16,daily,EWQ,iSh. MSCI France ETF,46.13,Dark Green,c4,43.94,8.62,-0.19,7,0,+5.58%,5.58,pP
2026-04-16,daily,EWS,iSh. MSCI Singapore ETF,29.31,Dark Green,c4,28.32,7.43,0.23,10,0,+2.88%,2.88,pP
2026-04-16,daily,EWZ,iSh. MSCI Brazil ETF,41.46,Dark Green,c4,38.48,9.03,0.61,14,50,+11.63%,11.63,pP
2026-04-16,daily,EXG,EV Tax-Managed Global Div. ETF,9.31,Dark Green,c4,8.88,8.42,-0.28,5,4,+2.65%,2.65,pP
2026-04-16,daily,EZU,iSh. MSCI Eurozone ETF,67.42,Dark Green,c4,63.52,8.68,0.28,9,0,+8.48%,8.48,pP
2026-04-16,daily,FAN,Global Wind Energy ETF,25.86,Dark Green,c4,24.72,8.42,0.63,14,50,+7.26%,7.26,pP
2026-04-16,daily,GREK,Global X MSCI Greece ETF,72.39,Dark Green,c4,66.6,9.43,0.44,9,0,+11.92%,11.92,pP
2026-04-16,daily,HDV,iSh. Core High Dividend ETF,133.27,Bull-Bear Flip,c18,135.11,-0.72,0.37,4,21,-1.65%,-1.65,Sell
2026-04-16,daily,HEFA,iSh. Currency Hedged MSCI EAFE,44.59,Dark Green,c4,43.01,8.48,0.34,9,1,+5.24%,5.24,pP
2026-04-16,daily,HQL,abrdn Life Sciences Investors,17.81,Dark Green,c4,16.83,7.04,0.36,9,1,+5.89%,5.89,pP
2026-04-16,daily,IAI,iSh. US Broker-Dealers ETF,179.4,Dark Green,c4,167.13,7.1,-0.27,7,8,+8.13%,8.13,pP
2026-04-16,daily,IAT,iSh. US Regional Banks ETF,57.7,Dark Green,c4,54.59,8.13,0.26,7,0,+4.97%,4.97,pP
2026-04-16,daily,ICVT,iSh. Convertible Bond ETF,110.31,Dark Green,c4,104.95,8.37,0.27,8,49,+5.92%,5.92,pP
2026-04-16,daily,IDEV,iSh. Core MSCI Intl Dev. Mkts,88.98,Dark Green,c4,84.6,8.53,0.32,9,1,+7.18%,7.18,pP
2026-04-16,daily,IEFA,iSh. Core MSCI EAFE ETF,96.43,Dark Green,c4,91.75,8.5,0.29,9,0,+7.20%,7.2,pP
2026-04-16,daily,IEUR,iSh. Core MSCI Europe ETF,75.11,Dark Green,c4,71.2,8.72,0.28,9,0,+7.61%,7.61,pP
2026-04-16,daily,IGV,iSh. Software Sector ETF,82.98,Bear-Bull Flip,c20,79.3,-2.05,-1.04,17,21,+1.04%,1.04,Buy
2026-04-16,daily,IJH,iSh. Core S&P Mid-Cap ETF,71.36,Dark Green,c4,68.2,7.51,0.21,5,0,+1.64%,1.64,pP
2026-04-16,daily,IJR,iSh. Core S&P Small Cap ETF,132.26,Dark Green,c4,125.34,8.17,0.26,7,0,+5.22%,5.22,pP
2026-04-16,daily,IJT,iSh. S&P Small-Cap 600 Growth,155.92,Dark Green,c4,146.47,8.68,0.16,8,0,+6.26%,6.26,pP
2026-04-16,daily,ILF,iSh. Latin America 40 ETF,37.75,Dark Green,c4,35.43,8.73,0.65,14,50,+9.87%,9.87,pP
2026-04-16,daily,IMCG,iSh. Core US REIT ETF,85.36,Dark Green,c4,80.81,8.24,-0.28,5,0,+2.72%,2.72,pP
2026-04-16,daily,IMTM,iSh. MSCI Intl. Momentum Facto,52.32,Dark Green,c4,49.03,8.79,0.29,9,0,+9.16%,9.16,pP
2026-04-16,daily,IOO,iSh. Global 100 ETF,131.43,Dark Green,c4,122.59,9.16,0.3,7,0,+7.58%,7.58,pP+
2026-04-16,daily,IQLT,iSh. MSCI Intl. Quality Factor,49.13,Dark Green,c4,46.75,8.71,0.26,9,0,+7.06%,7.06,pP
2026-04-16,daily,IVE,iSh. S&P 500 Value ETF,218.01,Dark Green,c4,212.19,6.47,0.17,5,0,+1.10%,1.1,pP
2026-04-16,daily,IVLU,iSh. MSCI Intl. Value Factor E,41.81,Dark Green,c4,40.11,8.33,0.68,9,51,+5.85%,5.85,pP
2026-04-16,daily,IWD,iSh. Russell 1000 Value ETF,224.02,Dark Green,c4,216.37,8.31,0.27,5,47,+1.17%,1.17,pP
